itinéraire	itinerary
tmin record date dec	tmin record date dec
sol	sun
format électronique	electronic format
population rang	population rang
ref	ref
numero dans la collection	number in the collection
conflit	conflict
soleil mai	may sun
règne	reign
tmoy fev	tmoy feb
ecusson	ecusson
feb sun	feb sun
postface	afterword
date adoption	date adoption
tmin record haut jul	tmin record high jul
lien éditeur	publisher link
jan	jan
source principale altitude	main source altitude
tri adresse	sorting address
gentilé	nice
direction actuelle	current direction
hangul	hangul
press haut nov	press today Nov
derniers souverains	last rulers
tmin record date ann	tmin record date ann
colderselection	colderselection
corresp	corresp
aliment	food
équipe affiliée	affiliate team
tmax record avr	tmax record avr
rtc	rtc
prec haut date dec	prev top date dec
gagnant plus large victoire	winner bigger win
sièges sénat	senate seats
tmin record mai	tmin record mai
pluie record date jan	rain record date jan
pos	pos
code postal	code postal
défaites	defeats
nom de naissance	birth name
autre nom	Other name
localisation	localisation
prec nbr bas mai	prec nbr bas mai
contrôleurs	controllers
image taille	picture size
premier jeu affiché	first game shown
tmax record bas mai	tmax record bass may
soleil max date mar	sun max date tue
titres amateurs	amateur titles
may mean	may mean
œuvre	work
eurogamer	eurogamer
pluie jour mm avr	rain day mm apr
tmax haut jul	tmax skin jul
siteatterrissage	siteatterrissage
usine	factory
neige record date ann	snow record date year
vent oct	vent oct
tmin record haut date nov	tmin record today date nov
identité	identify
orage jour oct	storm day oct
format	format
éditeur orig	original editor
perdant plus large défaite	loser wider defeat
fed cup	fed cup
tmax record bas date sep	tmax record bas date sep
géologie	geology
etnies	ethnic groups
tmin bas date ann	tmin low date ann
press bas date jan	press bas date jan
bundesrat	Federal Council
victoireprolong	victoryprolong
lien drapeau	flag link
pibppa année	pibppa year
vent record dec	vent record dec
relégation	relegation
conseiller du président	adviser to the president
alttitre	alttitre
evt	Possibly
zip	zip
prec haut ann	prec haut ann
km fond	km fund
participant	participant
soleil min dec	sun min dec
titres phares	flagship titles
nombre albums	name albums
medecin	doctor
writing credits	writing credits
dates	dates
prec fev	prec fev
pibhab année	pibhab year
prec nbr bas fev	prec nbr bas fev
dirigeants	leaders
désignation	designation
date single suiv	date single suiv
président chambre fin	late chamber chair
typologie	typology
meta	meta
prec bas mai	just like that
date idh	date it
iso btexte	iso btexte
latin	latin
liencirconscription	liencirconscription
direction	direction
publi	publi
ieu	this
gamespot	gamespot
votes pré	pre votes
date fin	end date
glottolog	glottolog
type formation	type formation
commandement	commandment
soleil max jui	sun max july
aug precip mm	aug especially mm
année draft amh	amh draft year
fin de règne	end of reign
buteur nom	scorer name
tmax haut date ann	tmax skin date ann
soleil min sep	sun min sep
pluie record date avr	record rain date apr
tmin record haut fev	tmin record high feb
numéro chapitre	chapter number
échelle secondaire	secondary scale
inclinaison	inclination
identifiant	identifier
temps pole	pole time
nbre imadas	number imadas
soleil min date jui	sun min date july
victoires amateurs	amateur victories
piste précédente	previous track
commis royal	commis royal
pays origine	country of origin
date élection	election date
dnb	dnb
tmoy ann	tmoy ann
mouvements affiliés	affiliated movements
hérétiques	heretics
extensions	extensions
tmin bas dec	tmin bas dec
entraîneur chef	head coach
carte historique	historical map
vote	vote
mosi	smoke
nom sv	name please
lien réalisateur	director link
tmax record bas date ann	tmax record bas date ann
slogan	slogan
prêtres	priests
genres	genres
taille	cut
province historique	historical province
pays de résidence	country of residence
soleil min date mar	sun min date tue
score mi temps	score mi temps
sep rec hi	I know there
titre leadera	leader title
mb	mb
nomfrioulan	nomfrioulan
élévation	elevation
cin	eating
nbind	nbind
élision	elision
perigee	perigee
mandat voivode	mandate voivode
nomgrec	nomgrec
titre fr	title fr
textcolor	textcolor
personnalité	personality
nom identifiant	identifier name
college	college
course	course
mixage	mixing
dob	dob
none titre	no title
3eplace	3eplace
wimbledon simple	wimbledon simple
taille carte	card size
naissance	birth
profession	profession
couple	couple
apr mean	apr mean
fonction allumeur	ignition function
oeuvre	work
longueur	length
mar precip days	mar precip days
jan precip mm	especially mm
biz	we
cantonales premier nom	cantonal first name
mar mean	mar mean
press haut date oct	press skin date oct
régionales premier tour	regional first round
largeur tableau	table width
last	last
mandats	warrants
leaderb date	leaderb date
préfète	prefect
prec bas oct	prec bas oct
titre	title
parties	parties
pilote vainqueur	winning driver
réservistes	reservists
capitaine	captain
pib rang	pib rang
zurich	zurich
périodique	periodic
tmax haut date fev	tmax skin date fev
descendance	descent
cavert	cavert
type gouvernement	government type
none chelem	no helmet
haut	high
soleil min date oct	sun min date oct
campus	campus
tmax record date jul	tmax record date jul
music	music
adj	adj
index europe	index europe
aou	me
gel jour jul	july frost
nov hi	new hi
volume	volume
affi internationale	international poster
rev score	rev score
congressistes	delegates
evt date	evt date
nombre épreuves	number of proofs
pattern socks	pattern socks
leader	leader
chapitre	chapter
lancement	launch
der titulaire	last holder
club actuel	current club
titresd	titresd
taux de croissance démographique	population growth rate
pluie oct	oct rain
page début chapitre	chapter start page
dénomination chef	chief denomination
copilote	copilot
pts	pts
soleil record jui	record sun july
groupe lié	related group
coauteurs	co-authors
lien villes	cities link
nulsérie	null series
stockage	storage
minéral	mineral
club	club
tmax bas date aou	tmax low date Aug
typage	typing
gentilé langue	kindness language
femmes atteignant	women reaching
tmax record bas date nov	tmax record bas date nov
leftarm	leftarm
grêle jour mai	hail may day
position	position
leader opp sénat début	early senate opp leader
gel jour dec	frost day dec
population date	population date
réalisateur	director
dernier gp	last gp
soleil record avr	sun record apr
istat	state
diffusion câble	broadcast cable
décalage horaire	jet lag
nationalite	nationality
vo	in
press jui	press jui
pib par habitant	GDP per capita
none attern so	none attern so
zone	zone
référendum oui	referendum yes
shorts	shorts
code naturel	code naturel
prési assemblée	assembly chair
montage	montage
type subdivision	type subdivision
pays lien subdivision	country link subdivision
régions	regions
enclave	enclave
nyme	name
assistant	assistant
tmin haut avr	midday high apr
branche cadette	cadet branch
sieges	sieges
neige record date dec	snow record date dec
nom officiel	official name
nb volumes	nb volumes
meilleur marqueur	top scorer
nom divers géo	miscellaneous name geo
tmax jan	tmax jan
comm	comm
tmin record haut date jul	tmin record high date jul
gimmick	gimmick
icone	icons
gpu	gpu
type média	media type
branches	branches
press bas ann	press bas ann
affiliation	affiliation
origyear	origyear
tmin record jul	tmin record jul
endispute	undisputed
nom pop	pop name
date adhésion	date of accession
neige record date mar	snow record date tue
du pays	from the country
ana	he
mouvement	movement
mission suivante	next mission
code okato	code okato
présentation en ligne	online presentation
tmin haut nov	tmin today Nov
votes	votes
nb de visiteurs	number of visitors
tmin haut mai	tmin haut mai
press bas jui	press bas jui
code vin	code vin
current	current
sources financières	financial sources
mar sun	i call
réalisation	achievement
mccune	mccune
année variation pop	pop variation year
président arrondissement	borough president
flotte	beautiful
culte	worship
pluie jour mm dec	rain day mm dec
vent record sep	vent record sep
tmax record date fev	tmax record date fev
nbmarx	nbmarx
tmin record haut date jan	tmin record high date jan
tmin record jan	tmin record jan
prec bas ann	prec bas ann
années de production	years of production
tmin record haut jui	tmin record high jun
siren	siren
indicatif radio	call sign
durée mandat	term of office
tmin record date sep	tmin record date sep
distance proche	near distance
nom cimetière	cemetery name
press bas dec	press bas dec
clot	clot
catégorie	category
tmax haut date nov	tmax today date Nov
neige record date fev	snow record date feb
yeux	eyes
alt maxi	everything maxi
soleil min oct	sun min oct
num	on one
press haut ann	press skin ann
châssis	frame
président sénat fin	late senate president
date premier parc	first park date
noires alpin	black alpine
tmax record bas date aou	tmax record bas date aou
chef de état	head of state
taille signature	signature size
fuseau horaire	time zone
tmoy nov	tmoynov
soleil min date avr	sun min date apr
access date	access date
dur	dur
domicile	residence
lieu auteur	place author
press haut date aou	press top date august
chef lieu	capital
chanson	song
titrejaponais	titrejaponais
station	station
vénéré par	revered by
prec nbr haut date avr	prec high nbr date apr
objets	objects
nom polonais	polish name
oldid	were old
pluie record date sep	rain record date sep
flop place	flop place
collapsed	collapsed
compté	account
neige record fev	record snow feb
wiktionnary titre	wiktionary title
prec haut date jul	prec today date jul
palmarès international	international awards
date àjour	current date
couleur	color
type acte	act type
consécration	consecration
soleil nov	sun nov
utc	utc
width	width
medicin	medicine
date de départ	Date of departure
construction	construction
lanue	wool
prec haut oct	prev high oct
press haut dec	press today dec
nb équipes	number of teams
nul	bad
préfet de police	prefect of police
pattern	pattern
codeprod	codeprod
nblib	nblib
sudoc	sudoc
vertes alpin	alpine green
carte powiats	carte counties
pluieville	pluieville
européennes second nom	European second name
fleur	fleur
pluie record aou	Record rain Aug
neige record date avr	snow record date apr
formation	formation
nombre episodes	name episodes
region	region
lien titre ouvrage	book title link
carte titre	title card
orage jour ann	thunderstorm year
tmin bas aou	tmin bas aou
source principale latitude	main source latitude
partie de	part of
vent jui	wind june
remplaçants	substitutes
ribbon	ribbon
nom cyrillique	Cyrillic name
surface	surface
iconeg	iconeg
tmin record haut sep	tmin record high sep
alias taille image	alias image size
suffrages	votes
voix	voice
prec nbr haut sep	prec nbr haut sep
artiste couverture	cover artist
penjab	incumbent
neige record jan	Jan record snow
développeurs	developers
matchs joués	matches played
présidentielles royal	royal presidential
wikibooks titre	wikibooks title
sénateur	senator
camarx	camarx
saison suivante	next season
roland garros simple	roland garros simple
fonction lecteur serment	oath reader function
lingua	language
contexte	context
numéro éditeur	publisher number
voivode	voivode
prec nbr bas oct	prec nbr bas oct
légende bis	legend bis
tmoy dec	tmoy dec
aug rec lo	aug rec lo
