ロック (音楽)	rock (music)
アメリカ合衆国	united states of america
ポップ・ミュージック	Pop music
ハードロック	Hard Rock
オルタナティヴ・ロック	alternative rock
ヘヴィメタル	heavy metal
日本	Japan
リズム・アンド・ブルース	rhythm and blues
民主党 (アメリカ)	Democratic Party (USA)
共和党 (アメリカ)	Republican Party (USA)
英語	English
イギリス	England
エピック・レコード	epic record
ロンドン	London
インディー・ロック	indie rock
南北戦争	civil war
ニューヨーク	New York
ラテン文字	latin letters
イングランド	England
パワーメタル	power metal
フランス	France
コンテンポラリー・r&b	contemporary r&b
ニュー・ウェーヴ (音楽)	new wave (music)
キューンミュージック	queon music
ニューヨーク州	new york state
ufc	ufc
ソビエト連邦	soviet union
シンセポップ	synthpop
プログレッシブ・メタル	progressive metal
オルタナティヴ・メタル	alternative metal
カリフォルニア州	california
エリザベス2世	Elizabeth II
自由民主党 (日本)	Liberal Democratic Party (Japan)
ファンク	funk
モスクワ	Moscow
スラッシュメタル	thrash metal
ポリドール・レコード	Polydor Records
ダンス・ポップ	dance pop
サイケデリック・ロック	psychedelic rock
日本語	Japanese
デスメタル	death metal
ロシア	Russia
欧州サッカー連盟	european football federation
ワシントンd.c.	washington d.c.
ノーザンダンサー	northern dancer
ネアルコ	Nearco
大日本帝国	empire of japan
ハーバード大学	Harvard University
保守党 (イギリス)	Conservative Party (UK)
rhythm zone	rhythm zone
ブルース	Blues
フランス語	French
カナダ	Canada
ビートルズ	Beatles
ネイティヴダンサー	native dancer
ドイツ	Germany
ヒップホップ・ミュージック	hip hop music
インド・ヨーロッパ語族	Indo-European
uefaチャンピオンズリーグ	uefa champions league
ヴィクトリア (イギリス女王)	Victoria (Queen of England)
パワー・ポップ	power pop
ニアークティック	near tick
イタリア	Italy
アメリカ合衆国上院	United States Senate
第95回天皇杯全日本サッカー選手権大会	95th Emperor's Cup All Japan Football Championship
スウェーデン	Sweden
uefaヨーロッパリーグ	uefa europe league
スペイン	Spain
ポップ・パンク	pop punk
ナタルマ	nataluma
ニュークリア・ブラスト	nuclear blast
アメリカ航空宇宙局	National Aeronautics and Space Administration
庶民院 (イギリス)	House of Commons (United Kingdom)
カントリー・ミュージック	country music
スピードメタル	speed metal
ズッファ	Zuffa
エレクトロ・ポップ	electro pop
ロシア語	Russian
欧州議会	european parliament
マサチューセッツ州	Massachusetts
a&mレコード	a&m record
ロードランナー・レコード	Roadrunner Records
ブラックメタル	black metal
ハードコア・パンク	hardcore punk
中華人民共和国	People's Republic of China
ゲフィン・レコード	Geffen Records
シンフォニックメタル	symphonic metal
ガガーリン発射台	gagarin launch pad
microsoft windows	microsoft windows
クイーン (バンド)	queen (band)
ネオクラシカルメタル	neoclassical metal
イギリスの首相	British prime minister
ギブソン・レスポール	gibson les paul
倖田來未	Kumi Kouda
ニュー・メタル	nu metal
イマヌエル・カント	Immanuel Kant
大韓民国	South Korea
バージニア州	Virginia
ジョージ・マーティン	George Martin
ナスルーラ	Nasrullah
l'arc〜en〜ciel	l'arc~en~ciel
ブリットポップ	britpop
オランダ	Netherlands
ファロス (競走馬)	Pharos (racehorse)
アルマームード	Arma mood
ポスト・ハードコア	post hardcore
コンパクトディスク	compact disc
ファラリス	Phalaris
アメリカ合衆国大統領	President of the United States
