池田樹雷人	Ikeda Tree Raito
德川余五麻呂	Tokugawa Yugomaro
金久保万吉	Kankubo Mankichi
亚历山德拉 费奥多罗芙娜皇后 尼古拉二世	Queen Alexandra Fyodorovna Nicholas II
聖荷西市議會	San Jose City Council
较大的市	larger city
忘情森巴舞	Forgetful Samba
塞爾維亞政黨列表	List of political parties in Serbia
none 魯克	none rook
真鶴町	Manazuru Town
洛克滕堡的約瑟芬	Josephine of Loktenburg
朱利安 列侬	Julian Lennon
none 加拿大大學	none Canadian University
上艾瑟尔省女王专员列表	List of Queen's Commissioners of Haute-Issel
真的真的嗎	really really
八国联军之役	Battle of the Eight-Power Allied Forces
田安德川家	Tian Yasushi Tokugawa family
英格蘭歷史上的郡	counties in england history
中信資本	CITIC Capital
阿爾 達沃薩裏	Al Davosari
法律哲学	legal philosophy
atlético huila	atlético huila
辛辛那提法學院	Cincinnati Law School
貝連拿戴拿模	Bellena Dynamo
普利茅斯足球俱乐部	Plymouth Football Club
马克卢斯	Marklus
陳漢瑋	Chen Hanwei
魯卡斯 夏迪奇	Lucas Shadic
伊壁鸠鲁	Epicurus
蝙蝠家庭	bat family
卡塔尔足球协会	Qatar Football Association
河北精英	Hebei Elite
北安普顿大学	University of Northampton
合蚌客运专线	Hebong Passenger Dedicated Line
巴巴多斯君主	barbados monarch
阿部拓马	Takuma Abe
美国第八集团军	Eighth U.S. Army
昆西 普羅梅斯	Quincy Promes
南科羅萊納鬥雞足球會	south corolina cockfighting football club
朱滙林	Zhu Huilin
高棉	Khmer
基多利加大學體育會	University of Quitorica Athletic Association
四万十川	Shimanto River
小波兰省	Lesser Poland Voivodeship
珊頓 托馬斯	Shenton Thomas
色氨酸	tryptophan
池田大作	Daisaku Ikeda
費爾菲爾德 康乃狄克州	Fairfield, Connecticut
查克奇	Chakki
司马昭	Sima Zhao
鄭春順	Zheng Chunshun
星際大戰 原力釋放	Star Wars The Force Unleashed
冰島音樂	icelandic music
列塞庇护十世村	The village of Pius X of Lesei
嘉義縣	Chiayi County
福斯娱乐集团	Fox Entertainment Group
阿肯色州司法部長	Arkansas Attorney General
海莉 阿特维尔	Hayley Atwell
克什米尔	Kashmir
方塊侗字	square dong character
若奧 佩雷拉	Joao Pereira
莎拉 维恩 考丽丝	Sarah Wayne Callies
牛津大学基督堂学院	Christ Church College, Oxford University
亞洲萬里通	Asia Miles
罗伯特 洛佩兹	Robert Lopez
中國搖滾樂	Chinese rock
約瑟普 布羅茲 狄托	Joseph Bros Tito
特诗琳王太后	Queen Mother Teresaine
拉赫桑 埃杰维特	Rahsan Ecevit
新吴区	Xinwu District
王晓 官员	Wang Xiao Official
吴語	Wu language
丹尼尔 福尔兰德尔	Daniel Falllander
馬田安達臣	Martin Anderson
北千住站	Kitasenju Station
恩賈梅納	N'Djamena
查理斯 湯森	Charles Townsend
玛丽亚 卡罗琳娜 两西西里	Maria Carolina Two Sicilies
塞尔韦拉伯爵	Count of Cervera
臺拉維夫大學	Tel Aviv University
景韓	Kyung Han
皮埃蒙特斯庫多	Piedmont Scudo
瀨田川	Setagawa
阿里烏教派	Arianism
约翰 沃尔夫冈 歌德	Johann Wolfgang Goethe
尤文图斯球场	Juventus Stadium
西辽	Xiliao
基督教社会人民党	christian social people party
伽列里乌斯	Galerius
格鲁吉亚银行	Georgia Bank
豐臣秀次	Toyotomi Shuji
內地延長主義	inland extensionism
polydor唱片公司	polydor record label
永井龍	Nagai Dragon
沙漠之春行动	Operation Desert Spring
塔塔汽車	Tata Motors
安德鲁 杰克逊	Andrew Jackson
保加利亞第二帝國	Second Bulgarian Empire
溫和派	Moderate
風尚	fashion
林子欣	Lin Zixin
椎名町站	Shiinacho Station
渡邊徹	Toru Watanabe
洪奇昌	Hong Qichang
英皇第 龍騎衛隊	The Emperor's Dragoons
leocísio sami	leocísio sami
梅特 玛丽特王储妃	Princess Mette Mariette
file 明光宗皇帝 jpg	file Emperor Guangzong of Ming Dynasty jpg
卢德维克 多恩	Ludwick Dorn
林忠邦	Lin Zhongbang
田口泰士	Taguchi Taishi
唱片	record
中華民國總統府	Presidential Palace of the Republic of China
欧阳常林	Ouyang Changlin
阿爾伯塔	alberta
老友记 第四季	Friends Season 4
埃格伯特 威塞克斯	Egbert Wessex
閩景宗	Min Jingzong
王鼎昌	Wang Dingchang
diesel引擎	diesel engine
蘇素耶	Susuye
教宗烏爾巴諾二世	Pope Urban II
功夫狀元	kung fu champion
吕鹏	Lu Peng
美國戰爭部長	U.S. Secretary of War
杜布羅夫尼克	Dubrovnik
康斯坦丁一世 希臘	Constantine I of Greece
佩德罗波利斯	pedropolis
斯坦尼斯瓦夫 格拉波斯基	Stanislaw Grabowski
马格利奇山	Magridge Hill
戈爾尼克扎布熱	Gornik Zabrze
阿歷士 佩雷斯	Alex Perez
許文耀	Xu Wenyao
喜劇中心	comedy central
胡璉	Hu Lian
三村真	Makoto Mimura
蓬特科沃親王	prince of pontekovo
蘇鈺祺	Su Yuqi
孔雀 歌曲	peacock song
陈焕友	Chen Huanyou
none 法國	none france
